idmonitoreodiario,fechamonitoreo,clavesih,nombreoficial,nombrecomun,estado,nommunicipio,regioncna,latitud,longitud,uso,corriente,tipovertedor,inicioop,elevcorona,bordolibre,nameelev,namealmac,namoelev,namoalmac,alturacortina,elevacionactual,almacenaactual,llenano
2186421,2024-01-01,LCLGR,"La Calera, Gro.","La Calera, Gro.",Guerrero,Zirándaro,Balsas,18.418611,-101.003056,RI,R. Chiquito o El Oro,Libre,,,1.6800000000000002,122.6200027,34.1928,118.0,9.393,,118.94,12.89,1.3722985201745899
2186398,2024-01-01,GDLMX,"Guadalupe, Méx.","Guadalupe,Méx.",Estado de México,Cuautitlán Izcalli,Aguas del Valle de México,19.635556,-99.252222,RI,R. Cuautitlán,Libre,,,1.9299300000000001,2306.820068,64.08,2305.199951,56.91,,2302.97,47.848,0.8407661219469331
2186399,2024-01-01,CNPMX,"La Concepción, Méx.","La Concepción, Méx.",Estado de México,Tepotzotlán,Aguas del Valle de México,19.695,-99.304444,RI,R. Tepotzotlán,Libre,,,3.09996,2352.540039,12.599,2352.100098,12.111,,2345.35,6.351,0.524399306415655
2186400,2024-01-01,PMDMX,"Madín, Méx.","Madín, Méx.",Estado de México,Naucalpan de Juárez,Aguas del Valle de México,19.526944,-99.260833,AP,R. Tlanepantla,Contr,,,2.46,2346.04,17.964,2336.29,9.37,,2334.23,8.04,0.8580576307363921
2186401,2024-01-01,PRGHD,"Javier Rojo Gómez, Hgo.","La Peña, Hgo.",Hidalgo,Alfajayucan,Aguas del Valle de México,20.359722,-99.329444,RI,R. Alfajayucan,Contr,,,1.3,1977.839,43.317,1976.84,39.99,,1972.71,28.902,0.7227306826706671
2186402,2024-01-01,TXMHD,"Taxhimay, Méx.","Taxhimay, Méx.",Estado de México,Villa del Carbón,Aguas del Valle de México,19.834722,-99.385278,RI,R. San Luis de las P,Libre,,,7.05,2216.1,47.386,2214.1,39.914,,2209.35,23.491,0.5885403617778221
2186403,2024-01-01,PRQHD,"Requena, Hgo.","Requena, Hgo.",Hidalgo,Tula de Allende,Aguas del Valle de México,19.963056,-99.310833,RI,R. Tula,Mixto,,,1.5,2110.3,61.519,2109.0,51.57,,2102.81,14.985,0.29057591623036605
2186404,2024-01-01,ENDHD,"Endhó, Hgo.","Endhó, Hgo.",Hidalgo,Tepetitlán,Aguas del Valle de México,20.163889,-99.36,RI,R. Tula,Libre,,,3.0,2020.0,208.65,2018.0,182.9,,2017.27,174.159,0.95220885729907
2186405,2024-01-01,PVAHD,"Vicente Aguirre, Hgo.","Las Golondrinas, Hgo.",Hidalgo,Alfajayucan,Aguas del Valle de México,20.435556,-99.375833,RI,R. Alfajayucan,Libre,,,7.4,1855.5,19.685,1854.9,17.799,,1844.76,0.486,0.027304904769930003
2186406,2024-01-01,SJATL,"San José Atlanga, Tlax.","Atlanga,Tlax.",Tlaxcala,Atlangatepec,Balsas,19.556111,-98.200556,RI,R. Zahuapán,Libre,,,2.32988,2486.870117,47.97,2486.399902,42.63,,2484.44,24.322,0.570537180389397
